feature,importance
bedrooms,0.23044527073106016
lotSize,0.1190792265597074
yearBuilt,0.11871051036065074
squareFootage,0.11229339197965968
bathrooms,0.05874180508065481
garage,0.024046943433427878
neighborhood_Brighton,0.023516604123146566
neighborhood_Toorak,0.01612488734908486
neighborhood_Kew,0.014679561892013577
neighborhood_Hawthorn,0.013803616176950457
neighborhood_Armadale,0.010437882258949434
neighborhood_Glen Iris,0.01039095749843268
neighborhood_Albert Park,0.0098108169493004
neighborhood_Hawthorn East,0.009765140823763707
neighborhood_Camberwell,0.009469214165735517
neighborhood_Balwyn North,0.00872733544054186
neighborhood_Balwyn,0.008533163235183817
neighborhood_Malvern,0.008324693200186202
neighborhood_Canterbury,0.007824005044540082
neighborhood_Middle Park,0.007400789022197421
neighborhood_Hampton,0.007108628896594506
neighborhood_South Yarra,0.00562792172839216
neighborhood_East Melbourne,0.005590698925585462
neighborhood_Malvern East,0.005572523011008492
neighborhood_Brighton East,0.004983035247844894
neighborhood_Surrey Hills,0.004519578741047856
neighborhood_Port Melbourne,0.0043618909172734146
neighborhood_Northcote,0.004282586334757967
neighborhood_St Kilda,0.004079948145709947
neighborhood_Carlton North,0.0037677729855586117
neighborhood_South Melbourne,0.003708873856526097
neighborhood_Mulgrave,0.003670415180616766
neighborhood_Richmond,0.0035240637235028
neighborhood_Fitzroy North,0.003332320685373587
neighborhood_Prahran,0.0031011438510764426
neighborhood_Ashburton,0.0028608060130373664
neighborhood_Ivanhoe,0.0028290790549240132
neighborhood_Eaglemont,0.002800627559895521
neighborhood_Essendon,0.002770556905767664
neighborhood_Kew East,0.002369506307425256
neighborhood_Reservoir,0.002325372325128627
neighborhood_Williamstown,0.002259215914550524
neighborhood_Bentleigh East,0.0020743593780801536
neighborhood_Bentleigh,0.0020010154794802585
neighborhood_Box Hill,0.0019643626421702192
neighborhood_Brunswick,0.0019268743566799428
neighborhood_Burwood,0.0018767858563700343
neighborhood_Elwood,0.0018327337410083827
neighborhood_Coburg,0.0017966787740311102
neighborhood_Alphington,0.0017341188435301535
neighborhood_Moonee Ponds,0.0016576306854547654
neighborhood_Ormond,0.0015941978474095432
neighborhood_Mont Albert,0.001545582678531382
neighborhood_Elsternwick,0.001536062136199715
neighborhood_Fitzroy,0.0015269760664174492
neighborhood_Doncaster,0.0014914615775695026
neighborhood_Carnegie,0.0014789955263492633
neighborhood_Newport,0.001465548647535856
neighborhood_Sandringham,0.001404313495364498
neighborhood_Glen Waverley,0.0013258375104847606
neighborhood_Preston,0.0012615108291188129
neighborhood_Ivanhoe East,0.001182076218200494
neighborhood_Doncaster East,0.001177940931146817
neighborhood_Mount Waverley,0.0011661238519614994
neighborhood_Aberfeldie,0.0011556278622012923
neighborhood_Windsor,0.0011266057773525013
neighborhood_Ascot Vale,0.001116491442748658
neighborhood_Murrumbeena,0.0010783458432792146
neighborhood_Caulfield North,0.001063479903846761
neighborhood_Thornbury,0.0010453117091293446
neighborhood_Yarraville,0.0010267749715170726
neighborhood_Maribyrnong,0.000981075813048528
neighborhood_Glenroy,0.0009535996025977606
neighborhood_Carlton,0.0009374203345457685
neighborhood_Clifton Hill,0.0008865223715508745
neighborhood_Footscray,0.0008561815946634644
neighborhood_Bulleen,0.0008191296994353771
neighborhood_Beaumaris,0.0007912655379517985
neighborhood_Caulfield South,0.0007595086118682937
neighborhood_Sunshine West,0.0007504986892144775
neighborhood_Brunswick East,0.0007450904597166673
neighborhood_Fawkner,0.0007364814488757795
neighborhood_North Melbourne,0.0007277634119569421
neighborhood_Berwick,0.0007135841623802926
neighborhood_Kensington,0.0006905374777187278
neighborhood_Parkville,0.0006848939197870157
neighborhood_Brunswick West,0.0006768715972906933
neighborhood_Epping,0.0006476526363603294
neighborhood_Albion,0.0006377243195445414
neighborhood_Strathmore,0.000637342048598883
neighborhood_Templestowe Lower,0.0006146648098925992
neighborhood_West Melbourne,0.0006136043612780384
neighborhood_Sunshine,0.0006127488930215348
neighborhood_Flemington,0.0005986423961367085
neighborhood_Highett,0.0005978049924249074
neighborhood_West Footscray,0.0005965240917853186
neighborhood_Sunbury,0.0005919528068783705
neighborhood_Werribee,0.0005836441341482337
neighborhood_Abbotsford,0.0005641504135042579
neighborhood_Collingwood,0.0005567591600916125
neighborhood_Parkdale,0.0005533018028838531
neighborhood_Hoppers Crossing,0.0005465406400322321
neighborhood_Fairfield,0.0005144513808588963
neighborhood_Heidelberg West,0.0005128578698774907
neighborhood_Ashwood,0.0005024818334263645
neighborhood_Rosanna,0.000501900825415338
neighborhood_Templestowe,0.0004941813086855587
neighborhood_Pascoe Vale,0.0004925779613118147
neighborhood_Seddon,0.0004921896389630388
neighborhood_Niddrie,0.0004895439371426336
neighborhood_Melton South,0.0004763348540048541
neighborhood_Avondale Heights,0.00047029184440413674
neighborhood_Hampton East,0.00044613675563067145
neighborhood_Blackburn,0.00043142235477698057
neighborhood_Craigieburn,0.00042217742274464407
neighborhood_Coburg North,0.0004175399551799612
neighborhood_Hughesdale,0.0004088618664625057
neighborhood_Oakleigh,0.0004025269492506218
neighborhood_Oakleigh South,0.00039706024608662295
neighborhood_Heidelberg,0.0003832421796481128
neighborhood_Cheltenham,0.0003727570704015179
neighborhood_Black Rock,0.0003722457940098274
neighborhood_Maidstone,0.0003668646255973885
neighborhood_Moorabbin,0.0003479933466301596
neighborhood_Keilor East,0.0003471769213031113
neighborhood_Caroline Springs,0.0003348427981869894
neighborhood_Meadow Heights,0.00032141275242724565
neighborhood_Caulfield,0.0003108919370539333
neighborhood_Princes Hill,0.0003074694786638963
neighborhood_Essendon West,0.0003034340210933898
neighborhood_Taylors Lakes,0.00030074538672319947
neighborhood_Broadmeadows,0.000298967724748225
neighborhood_Chadstone,0.00027697564435258523
neighborhood_Balaclava,0.0002737560997151115
neighborhood_Oak Park,0.00027347090557519523
neighborhood_South Morang,0.00027188970875088793
neighborhood_Heidelberg Heights,0.0002693227058817458
neighborhood_Clayton,0.00026020216958166307
neighborhood_Cremorne,0.00025891267978019527
neighborhood_Wantirna South,0.00025380104280896493
neighborhood_Melton,0.00025322034241106366
neighborhood_Sunshine North,0.0002513922801068107
neighborhood_Roxburgh Park,0.0002509653708632087
neighborhood_Altona,0.00024890484474272286
neighborhood_Ripponlea,0.00024509216232084473
neighborhood_Spotswood,0.00024090817937151045
neighborhood_Hadfield,0.00023397625383312964
neighborhood_McKinnon,0.00022503181180547695
neighborhood_Kealba,0.00021851566381154197
neighborhood_Burwood East,0.00021715233700156822
neighborhood_Mentone,0.00021304655114350336
neighborhood_Ferntree Gully,0.00020165333678915734
neighborhood_Mill Park,0.00019696619269530977
neighborhood_Pakenham,0.00019107974142336355
neighborhood_Caulfield East,0.00018915450200848637
neighborhood_Viewbank,0.00018758792340983584
neighborhood_Burnley,0.00018714248579084657
neighborhood_Hillside,0.00018456723805242048
neighborhood_Gowanbrae,0.00018197862251478973
neighborhood_Melton West,0.00018191379423041922
neighborhood_Seaholme,0.0001797943978704417
neighborhood_Seaford,0.00017708226267750853
neighborhood_Kingsville,0.00017412243759801896
neighborhood_Blackburn North,0.0001737087346990865
neighborhood_Blackburn South,0.00017052663317047685
